(Audit),(تدقيق)
docs_required,مستندات مطلوبة
Documents,المستندات
documents,المستندات
Documents requested from guest,مستندات مطلوبة من الضيف
done,منجز
Download Agenda PDF,تنزيل مستند جدول الفعالية
Draft,مسودة
draft,مسودة
Driver,سائق
driver,سائق
Driver Name,اسم السائق
Due,موعد الاستحقاق
due,موعد الاستحقاق
Due From,من تاريخ
Due To,إلى تاريخ
Economy,اقتصادي
economy,اقتصادي
Email,البريد الإلكتروني
email,بريد إلكتروني
Email Account,حساب البريد
Email agenda on registration,إرسال جدول الفعالية عند التسجيل
Email Template,قالب البريد
Email the agenda as a PDF attachment to every registered guest?,إرسال جدول الفعالية كمرفق مستند لكل ضيف مسجل؟
Email Verified (OTP),البريد موثّق (رمز لمرة واحدة)
Emergency Contact,جهة اتصال للطوارئ
Emergency Contact (name & phone),جهة اتصال للطوارئ (الاسم والجوال)
Emergency Contacts,جهات اتصال الطوارئ
en,الإنجليزية
en_route,في الطريق
Enabled,مفعّل
enabled,مفعّل
End,النهاية
end,النهاية
End Date,تاريخ النهاية
Enforce lifecycle gates (BR-001…BR-007),فرض بوابات دورة الحياة (قواعد العمل 001–007)
English,الإنجليزية
english,الإنجليزية
ERC Accreditation,اعتماد مشترك
ERC Accreditation Status,حالة الاعتماد المشترك
ERC Negotiated Rate / Night,السعر المتفاوض عليه / ليلة
ERPNext Core / الأساسيات,الأساسيات
Error,خطأ
error,خطأ
europe,أوروبا
evening,مساء
Event,فعالية
event,فعالية
Event Code,رمز الفعالية
Event context,سياق الفعالية
Event Day,يوم الفعالية
Event Name (AR),اسم الفعالية (العربية)
Event Name (EN),اسم الفعالية (الإنجليزية)
Event Setup,إعداد الفعالية
Event Team,فريق الفعالية
Event Visa,تأشيرة الفعالية
event_manager,مدير الفعالية
Exempt,معفى
exempt,معفى
Exhibition,معرض
exhibition,معرض
exhibition_only,المعرض فقط
expected,متوقع
Expected Arrival,الوصول المتوقع
Expected Guests,الضيوف المتوقعون
expired,منتهٍ
Expires At,ينتهي في
extra_night,ليلة إضافية
Face / Selfie,صورة الوجه
Facility Booking,حجز منشأة
Facility Booking Fee,رسوم حجز المنشأة
failed,فشل
Fees and Pricing,الرسوم والأسعار
Female,أنثى
female,أنثى
Field Ops,التشغيل الميداني
File,ملف
file,ملف
Filter by event,تصفية حسب الفعالية
finance,المالية
First,الأول
first,الأول
First Name,الاسم الأول
"Fix the overlaps first, or continue if they are intentional.",أصلح التعارضات أولًا، أو تابع إن كانت مقصودة.
Flight,رحلة طيران
flight,رحلة طيران
Flight Booking,حجز طيران
Flight Number,رقم الرحلة
Flight Status,حالة الرحلة
Flight ticket,تذكرة طيران
Flight Tickets,تذاكر الطيران
flight_requested,طُلب الطيران
Floor,الطابق
floor,الطابق
flying,في الجو
From,من
from,من
fulfilled,مُنفَّذ
Full day,يوم كامل
Full Name,الاسم الكامل
Full Name (AR),الاسم الكامل (العربية)
full_event,الفعالية كاملة
gala,حفل رسمي
Gala dinner,حفل العشاء
gala_only,الحفل الرسمي فقط
gcc,التعاون الخليجي
gcc_me,التعاون الخليجي
Gender,الجنس
gender,الجنس
general,عام
Generate anyway,إنشاء على أي حال
Generate Tasks,إنشاء المهام
Generated Task,المهمة المرتبطة
Generating PDF…,جاري إنشاء المستند…
GPS,نظام تحديد المواقع
gps,نظام تحديد المواقع
Granted,مُنح
granted,مُنح
Granted At,مُنح في
group_photo,صورة جماعية
Guest,ضيف
guest,ضيف
guest and status required,الضيف والحالة مطلوبان
Guest Hotel Check-in,تسجيل دخول الضيف للفندق
Guest Journey,رحلة الضيف
Guest Journey Rules,قواعد رحلة الضيف
Guest KYC,التحقق من هوية الضيف
Guest Management,إدارة الضيوف
Guest Name,اسم الضيف
Guest Portal Base URL,رابط بوابة الضيف الأساسي
guest required,الضيف مطلوب
Guest Services,خدمات الضيف
Guest Trip State,حالة رحلة الضيف
Guest Type,نوع الضيف
Guest Visa,تأشيرة الضيف
guest_arrived,الضيف وصل
guest_language,لغة الضيف
Guests,الضيوف
guests,الضيوف
Hall,قاعة
hall,قاعة
Halls,القاعات
halls,القاعات
Head of Delegation,رئيس الوفد
Head-and-shoulders photo used on the badge.,صورة شخصية تُستخدم على بطاقة الدخول.
head_of_delegation,رئيس الوفد
Help,مساعدة
help,مساعدة
Hidden from public registration — only selectable on the Invitation form.,مخفي عن التسجيل العام — يُختار فقط من نموذج الدعوة.
High,عالية
high,عالية
Holder Name,اسم الحامل
Host,مضيف
host,مضيف
Host Organization,المنظمة المضيفة
Hotel,فندق
hotel,فندق
Hotel & Badges,الفندق وبطاقات الدخول
Hotel accommodation,إقامة فندقية
Hotel Booking,حجز فندق
Hotel Check-in,تسجيل دخول الفندق
Hotel Checked In,تم تسجيل الدخول للفندق
Hotel Name,اسم الفندق
Hotel Name (AR),اسم الفندق (العربية)
Hotel → Airport,الفندق ← المطار
Hotel → Venue,الفندق ← مكان الفعالية
hotel_checkin,تسجيل دخول الفندق
hotel_desk,مكتب الفندق
housekeeping,تدبير منزلي
Icon,أيقونة
icon,أيقونة
Identity,الهوية
identity,الهوية
IDO Accreditation,اعتماد
IDO Accreditation Officer,مسؤول الاعتماد
IDO Agenda Section,قسم جدول الفعالية
IDO Airport Desk,مكتب المطار
IDO Arrival,وصول
IDO Arrivals by Status,الوصول حسب الحالة
IDO Attendance,حضور
IDO Badge,بطاقة الدخول
IDO Badge Card,بطاقة الدخول
IDO Badge Queue,طابور بطاقات الدخول
IDO Badge Team,فريق بطاقات الدخول
IDO Bilateral by Status,الاجتماعات الثنائية حسب الحالة
IDO Bilateral Meeting,اجتماع ثنائي
IDO Broadcast,بث
IDO Broadcast Recipient,مستلم البث
IDO Commercial,تجاري
IDO Comms Template,قالب التواصل
IDO Consent Purpose,غرض الموافقة
IDO Delegation,وفد
IDO Delegations by Type,الوفود حسب النوع
IDO Demo Request,طلب عرض توضيحي
IDO Driver,سائق
IDO Emergency Alert,تنبيه طارئ
IDO Emergency Contact,جهة اتصال للطوارئ
IDO Event,فعالية
IDO Event Day,يوم الفعالية
IDO Event Manager,مدير الفعالية
IDO Event Planner,مخطط الفعالية
IDO Event Settings,إعدادات الفعالية
IDO Event Team Member,عضو فريق الفعالية
IDO Event — من الدعوة إلى العودة,من الدعوة إلى العودة
IDO Events,الفعاليات
IDO Flight Companion,مرافق رحلة
IDO Flight Request,طلب طيران
IDO Flight Status,حالة الرحلة
IDO Guest,ضيف
IDO Guest Agenda Item,بند جدول الضيف
IDO Guest Companion,مرافق الضيف
IDO Guest Feedback,تقييم الضيف
IDO Guest Funnel,قمع الضيوف
IDO Guest Interest,اهتمام الضيف
IDO Guest Journey,رحلة الضيف
IDO Guest Services,خدمات الضيف
IDO Guests by Category,الضيوف حسب الفئة
IDO Guests by Funding,الضيوف حسب التمويل
IDO Guests by Nationality,الضيوف حسب الجنسية
IDO Guests by Region,الضيوف حسب المنطقة
IDO Guests by Stage,الضيوف حسب المرحلة
IDO Hotel,فندق
IDO Hotel Desk,مكتب الفندق
IDO Hotel Occupancy,إشغال الفندق
IDO Hotel Room,غرفة فندق
IDO Hotel Stay,إقامة فندقية
IDO Hotel Stay Status,حالة الإقامة الفندقية
IDO Interest,اهتمام
IDO Invitation,دعوة
IDO KYC Status,حالة التحقق من الهوية
IDO KYC Verification,التحقق من الهوية
IDO Liaison Host,مضيف ارتباط
IDO Operations,العمليات
IDO Operations & Tasks,العمليات والمهام
IDO Order Item,بند طلب
IDO Organizer,منظم
IDO Owner,المالك
IDO Package,باقة
IDO Package Inclusion,مشمولات الباقة
IDO Package Service,خدمة الباقة
IDO Play,تشغيل
IDO Playbook Item,بند دليل التشغيل
IDO Programme & Protocol,البرنامج والبروتوكول
IDO Protocol Desk,مكتب البروتوكول
IDO QR Pass,تصريح الدخول
IDO Registration,تسجيل
IDO Registrations by Status,التسجيلات حسب الحالة
IDO Registrations by Type,التسجيلات حسب النوع
IDO Revenue by Package,الإيرادات حسب الباقة
IDO Revenue by Status,الإيرادات حسب الحالة
IDO Security Vetting,فحص أمني
IDO Service Request,طلب خدمة
IDO Service Requests by Type,طلبات الخدمة حسب النوع
IDO Session,جلسة
IDO Session Speaker,متحدث الجلسة
IDO Sessions by Hall,الجلسات حسب القاعة
IDO Sessions by Track,الجلسات حسب المسار
IDO Speaker,متحدث
IDO Stage Log,سجل المرحلة
IDO Support by Category,الدعم حسب الفئة
IDO Support Ticket,تذكرة دعم
IDO Task,مهمة
IDO Tasks by Priority,المهام حسب الأولوية
IDO Tasks by Status,المهام حسب الحالة
IDO Tasks by Team,المهام حسب الفريق
IDO Ticket,تذكرة
IDO Ticket Revenue,إيرادات التذاكر
IDO Ticket Sales,مبيعات التذاكر
IDO Ticket Type,نوع التذكرة
IDO Tickets by Status,التذاكر حسب الحالة
IDO Tickets by Type,التذاكر حسب النوع
IDO Transport Trip,رحلة نقل
IDO Travel & Logistics,السفر واللوجستيات
IDO Travel Team,فريق السفر
IDO Trips by State,الرحلات حسب الحالة
IDO Usher,مرشد
IDO Venue,مكان الفعالية
IDO Venue Hall,قاعة المكان
IDO Venue Manager,مدير المكان
IDO Visa Application,طلب تأشيرة
IDO Visa Document,مستند تأشيرة
IDO Visa Status,حالة التأشيرة
IDO Visa Team,فريق التأشيرات
in_progress,قيد التنفيذ
in_review,قيد المراجعة
in_transit,في النقل
Included Services,الخدمات المشمولة
Inclusions,ما تشمله الباقة
inclusions,ما تشمله الباقة
Insufficient permission,صلاحية غير كافية
Interest,اهتمام
interest,اهتمام
Interest (AR),الاهتمام (العربية)
Interests,الاهتمامات
interests,الاهتمامات
Internal Notes,ملاحظات داخلية
International Organization,منظمة دولية
Interpreter,مترجم فوري
interpreter,مترجم فوري
intl_org_rep,ممثل منظمة دولية
Intro (AR),المقدمة (العربية)
Intro (EN),المقدمة (الإنجليزية)
investment,استثمار
Invitation Code,رمز الدعوة
Invitation Letter,خطاب الدعوة
Invitation only,بالدعوة فقط
invited,مدعو
Issue QR Pass,إصدار تصريح الدخول
issued,صادر
Issued At,صدر في
Issued Tickets,التذاكر الصادرة
Issuing Country,دولة الإصدار
Item,بند
item,بند
Item Group,مجموعة البنود
Item Price,سعر البند
Items,البنود
items,البنود
Job Title,المسمى الوظيفي
Journey,الرحلة
journey,الرحلة
keynote,كلمة افتتاحية
KYC Approved,تم التحقق من الهوية
KYC cannot be overridden (BR-002 / PDPL),لا يمكن تجاوز التحقق من الهوية (قاعدة العمل 002 / حماية البيانات)
KYC Status,حالة التحقق من الهوية
kyc_approved,تم التحقق من الهوية
Label,التسمية
label,التسمية
landed,هبط
Last Name,اسم العائلة
latam,أمريكا اللاتينية
Layout,التخطيط
layout,التخطيط
Leave blank to use the service name,اتركه فارغًا لاستخدام اسم الخدمة
Level Fee,رسوم المستوى
Liaison WhatsApp,واتساب المضيف
Linked Guest,الضيف المرتبط
Liveness Score,درجة التحقق الحي
local,محلي
Location,الموقع
location,الموقع
Lost,مفقود
lost,مفقود
Lost Item,غرض مفقود
Low,منخفضة
low,منخفضة
Luggage Notes,ملاحظات الأمتعة
maintenance,صيانة
Male,ذكر
male,ذكر
manual,يدوي
Map Link,رابط الخريطة
Marketing communications consent,موافقة على الاتصالات التسويقية
Max per Buyer,الحد الأقصى للمشتري
meal,وجبة
meal_request,طلب وجبة
Media,إعلام
media,إعلام
Medical,طبي
medical,طبي
Medium,متوسطة
medium,متوسطة
Meet & Greet,استقبال وترحيب
Meeting Point,نقطة الالتقاء
meeting_room,غرفة اجتماعات
Members,الأعضاء
members,الأعضاء
Message,الرسالة
message,الرسالة
Method,الطريقة
method,الطريقة
mixed,مختلط
Mobile,الجوال
mobile,الجوال
Mobile Verified (OTP),الجوال موثّق (رمز لمرة واحدة)
Mode of Payment,طريقة الدفع
Moderator,ميسر
moderator,ميسر
morning,صباحي
night,ليلي
Name,الاسم
name,الاسم
Name (AR),الاسم (العربية)
Nationality,الجنسية
nationality,الجنسية
Needed At,مطلوبة بتاريخ
networking,تواصل شبكي
New,جديد
new,جديد
nfc,اتصال قريب المدى
NFC Enabled,الاتصال قريب المدى مفعّل
NFC UID,معرّف الاتصال قريب المدى
No agenda items yet — use Pull Event Sessions or add rows manually.,لا توجد بنود في الجدول بعد — اسحب جلسات الفعالية أو أضف صفوفًا يدويًا.
No filter,بدون تصفية
No guests with an email address.,لا يوجد ضيوف لديهم بريد إلكتروني.
No overlaps found.,لا توجد تعارضات.
No photo on the guest record — the badge will show initials.,لا توجد صورة في سجل الضيف — ستظهر الأحرف الأولى على بطاقة الدخول.
no_show,لم يحضر
none,لا شيء
north_america,أمريكا الشمالية
not_required,غير مطلوب
not_started,لم يبدأ
Notes,ملاحظات
notes,ملاحظات
Nothing new to generate.,لا يوجد جديد للإنشاء.
Notification,إشعار
notification,إشعار
Notify whole team,إشعار الفريق بالكامل
occupied,مشغول
off_duty,خارج الخدمة
On sale now,مطروحة للبيع
on_trip,في الرحلة
Only packages marked Invitation only are listed.,تُعرض فقط الباقات المحددة بالدعوة فقط.
Open,مفتوح
open,مفتوح
Open Alerts,التنبيهات المفتوحة
Open Invitation,فتح الدعوة
Open Schedule,فتح الجدول
Open Service Requests,طلبات الخدمة المفتوحة
Open Tasks,المهام المفتوحة
"Open the event once so the agenda engine loads, then resend.",افتح الفعالية مرة واحدة لتحميل محرك الجدول، ثم أعد الإرسال.
opened,مفتوح
Opened At,فُتح في
Operations,العمليات
operations,العمليات
Operations & Tasks,العمليات والمهام
"Optional: name of the section within the day (Morning, Gala, ...). Leave blank to auto-group by time.",اختياري: اسم القسم ضمن اليوم (صباح، حفل، ...). اتركه فارغًا للتجميع التلقائي حسب الوقت.
Order,الطلب
order,الطلب
Order Type,نوع الطلب
Organization,المنظمة
organization,المنظمة
organizer,منظم
Other,أخرى
other,أخرى
OTP Code,رمز التحقق لمرة واحدة
OTP Expires At,انتهاء رمز التحقق في
Outbound Ticket,تذكرة الذهاب
Overall Rating,التقييم الإجمالي
override,تجاوز
Override (audited),تجاوز (مُدقَّق)
Override Stage,تجاوز المرحلة
owner,المالك
Owner Team,فريق المالك
Package,باقة
package,باقة
Package Name,اسم الباقة
Packages,الباقات
packages,الباقات
Packages & Registration,الباقات والتسجيل
paid,مدفوع
Paid At,وقت الدفع
Paid Registrations,التسجيلات المدفوعة
panel,حلقة نقاش
Panelist,مشارك في الجلسة
panelist,مشارك في الجلسة
Parent,أصل
parent,أصل
Passengers,عدد الركاب
passengers,عدد الركاب
Passport,جواز السفر
passport,جواز السفر
Passport Copy,نسخة جواز السفر
Passport Data (as read),بيانات جواز السفر (كما قُرئت)
Passport Expiry,انتهاء جواز السفر
Passport Image,صورة جواز السفر
Passport Number,رقم جواز السفر
Payment Entry,قيد دفع
Payment Reference,مرجع العملية
PDPL,نظام حماية البيانات الشخصية
pdpl,نظام حماية البيانات الشخصية
PDPL retention after event (days),مدة الاحتفاظ بعد الفعالية وفق حماية البيانات (أيام)
pending,معلق
Pending Tasks,المهام المعلقة
pending_payment,بانتظار الدفع
Persona,الشخصية
persona,الشخصية
Personal Agenda,الجدول الشخصي
Phone,الهاتف
phone,الهاتف
Photo,صورة
photo,صورة
Picked Up,تم الاستلام
picked_up,تم الاستلام
Pickup Location,موقع الاستلام
Placeholders,العناصر النائبة
placeholders,العناصر النائبة
planned,مخطط
planner,مخطط
Plate #,رقم اللوحة
Player,لاعب
player,لاعب
Player Classification,تصنيف اللاعب
Player Subscription,اشتراك اللاعب
Players,اللاعبون
players,اللاعبون
plenary,جلسة عامة
PNR,رمز الحجز
pnr,رمز الحجز
policy,سياسة
Portal User,مستخدم البوابة
Preferences & Needs,التفضيلات والاحتياجات
Preferred Airport,المطار المفضل
Preferred Language,اللغة المفضلة
Preferred Travel Date,تاريخ السفر المفضل
Preferred Travel Time,وقت السفر المفضل
Premium Economy,سياحية مميزة
RapidAPI Host,مضيف RapidAPI
RapidAPI Key,مفتاح RapidAPI
Enable AirLabs Lookup,تفعيل جلب الرحلات من AirLabs
AirLabs (Flight Lookup),AirLabs (جلب الرحلات)
AirLabs API Key,مفتاح AirLabs
Event Plan (Days),خطة الفعالية (الأيام)
Plan Days,أيام الخطة
Session Tasks (Run of Show),مهام الجلسة (تشغيل)
Programme Day #,رقم يوم البرنامج
Preview Agenda Email,معاينة بريد جدول الفعالية
Preview Badge,معاينة بطاقة الدخول
Preview failed: {0},فشلت المعاينة: {0}
Price,السعر
price,السعر
Print,طباعة
print,طباعة
Print Badge,طباعة بطاقة الدخول
printed,مطبوع
Printed At,طُبع في
Printed By,طبع بواسطة
Priority,الأولوية
priority,الأولوية
private,خاص
Private schedule for this guest. Press Generate Tasks to notify the responsible people.,جدول خاص لهذا الضيف. اضغط إنشاء المهام لإشعار المسؤولين.
Private transport (driver),نقل خاص بسائق
Processed By,عالج بواسطة
processing,قيد المعالجة
Profile Completion %,نسبة اكتمال الملف
Programme & Protocol,البرنامج والبروتوكول
Programme Day,يوم البرنامج
Programme Days,أيام البرنامج
protocol,بروتوكول
Protocol Notes,ملاحظات المراسم
Pull Event Sessions,سحب جلسات الفعالية
Purchased At,وقت الشراء
Purpose,الغرض
purpose,الغرض
push,دفع
QR,رمز الدخول
qr,رمز الدخول
QR Enabled,رمز الدخول مفعّل
QR Image,صورة رمز الدخول
QR Pass,تصريح الدخول
QR Pass Validity (days),صلاحية تصريح الدخول (أيام)
QR Token,رمز تصريح الدخول
Qty,الكمية
qty,الكمية
qualified,مؤهل
Quantity Released,الكمية المطروحة
queued,في الطابور
Rate,سعر الوحدة
rate,سعر الوحدة
ready,جاهز
Reason,السبب
reason,السبب
Rebuild Programme Days,إعادة بناء أيام البرنامج
received,مستلم
Receiving Delegation,الوفد المستضيف
Recipients,المستلمون
recipients,المستلمون
Recurring Level Fee,رسوم المستوى المتكررة
Reference No,رقم المرجع
Refresh,تحديث
